date,region,daily_ed_visits,departments_reporting
17-05-2017,Auvergne et Rhône-Alpes,6984,12
18-05-2017,Auvergne et Rhône-Alpes,7013,12
19-05-2017,Auvergne et Rhône-Alpes,6795,12
20-05-2017,Auvergne et Rhône-Alpes,6807,12
21-05-2017,Auvergne et Rhône-Alpes,7040,12
22-05-2017,Auvergne et Rhône-Alpes,7908,12
23-05-2017,Auvergne et Rhône-Alpes,7010,12
24-05-2017,Auvergne et Rhône-Alpes,7171,12
25-05-2017,Auvergne et Rhône-Alpes,6784,12
26-05-2017,Auvergne et Rhône-Alpes,7612,12
27-05-2017,Auvergne et Rhône-Alpes,7228,12
28-05-2017,Auvergne et Rhône-Alpes,7205,12
29-05-2017,Auvergne et Rhône-Alpes,8118,12
30-05-2017,Auvergne et Rhône-Alpes,7063,12
31-05-2017,Auvergne et Rhône-Alpes,7115,12
01-06-2017,Auvergne et Rhône-Alpes,7514,12
02-06-2017,Auvergne et Rhône-Alpes,7743,12
03-06-2017,Auvergne et Rhône-Alpes,7464,12
04-06-2017,Auvergne et Rhône-Alpes,7239,12
05-06-2017,Auvergne et Rhône-Alpes,7779,12
06-06-2017,Auvergne et Rhône-Alpes,7677,12
07-06-2017,Auvergne et Rhône-Alpes,6730,12
08-06-2017,Auvergne et Rhône-Alpes,6806,12
09-06-2017,Auvergne et Rhône-Alpes,7124,12
10-06-2017,Auvergne et Rhône-Alpes,7307,12
11-06-2017,Auvergne et Rhône-Alpes,7407,12
12-06-2017,Auvergne et Rhône-Alpes,7954,12
13-06-2017,Auvergne et Rhône-Alpes,7200,12
14-06-2017,Auvergne et Rhône-Alpes,7132,12
15-06-2017,Auvergne et Rhône-Alpes,7441,12
16-06-2017,Auvergne et Rhône-Alpes,7547,12
17-06-2017,Auvergne et Rhône-Alpes,7718,12
18-06-2017,Auvergne et Rhône-Alpes,7570,12
19-06-2017,Auvergne et Rhône-Alpes,8482,12
20-06-2017,Auvergne et Rhône-Alpes,7402,12
21-06-2017,Auvergne et Rhône-Alpes,7263,12
22-06-2017,Auvergne et Rhône-Alpes,7803,12
23-06-2017,Auvergne et Rhône-Alpes,7512,12
24-06-2017,Auvergne et Rhône-Alpes,7819,12
25-06-2017,Auvergne et Rhône-Alpes,8160,12
26-06-2017,Auvergne et Rhône-Alpes,8841,12
27-06-2017,Auvergne et Rhône-Alpes,7644,12
28-06-2017,Auvergne et Rhône-Alpes,6985,12
29-06-2017,Auvergne et Rhône-Alpes,7185,12
30-06-2017,Auvergne et Rhône-Alpes,7125,12
01-07-2017,Auvergne et Rhône-Alpes,6818,12
02-07-2017,Auvergne et Rhône-Alpes,7032,12
03-07-2017,Auvergne et Rhône-Alpes,7614,12
04-07-2017,Auvergne et Rhône-Alpes,6703,12
05-07-2017,Auvergne et Rhône-Alpes,6755,12
06-07-2017,Auvergne et Rhône-Alpes,6853,12
07-07-2017,Auvergne et Rhône-Alpes,6814,12
08-07-2017,Auvergne et Rhône-Alpes,7482,12
09-07-2017,Auvergne et Rhône-Alpes,7548,12
10-07-2017,Auvergne et Rhône-Alpes,7965,12
11-07-2017,Auvergne et Rhône-Alpes,7387,12
12-07-2017,Auvergne et Rhône-Alpes,7381,12
13-07-2017,Auvergne et Rhône-Alpes,7506,12
14-07-2017,Auvergne et Rhône-Alpes,7333,12
15-07-2017,Auvergne et Rhône-Alpes,8016,12
16-07-2017,Auvergne et Rhône-Alpes,7047,12
17-07-2017,Auvergne et Rhône-Alpes,8140,12
18-07-2017,Auvergne et Rhône-Alpes,7113,12
19-07-2017,Auvergne et Rhône-Alpes,7147,12
20-07-2017,Auvergne et Rhône-Alpes,7226,12
21-07-2017,Auvergne et Rhône-Alpes,6932,12
22-07-2017,Auvergne et Rhône-Alpes,7202,12
23-07-2017,Auvergne et Rhône-Alpes,6884,12
24-07-2017,Auvergne et Rhône-Alpes,7554,12
25-07-2017,Auvergne et Rhône-Alpes,6448,12
26-07-2017,Auvergne et Rhône-Alpes,6640,12
27-07-2017,Auvergne et Rhône-Alpes,6918,12
28-07-2017,Auvergne et Rhône-Alpes,6896,12
29-07-2017,Auvergne et Rhône-Alpes,6926,12
30-07-2017,Auvergne et Rhône-Alpes,6504,12
31-07-2017,Auvergne et Rhône-Alpes,7485,12
01-08-2017,Auvergne et Rhône-Alpes,6748,12
02-08-2017,Auvergne et Rhône-Alpes,6776,12
03-08-2017,Auvergne et Rhône-Alpes,7126,12
04-08-2017,Auvergne et Rhône-Alpes,6960,12
05-08-2017,Auvergne et Rhône-Alpes,7084,12
06-08-2017,Auvergne et Rhône-Alpes,6589,12
07-08-2017,Auvergne et Rhône-Alpes,7676,12
08-08-2017,Auvergne et Rhône-Alpes,6619,12
09-08-2017,Auvergne et Rhône-Alpes,6396,12
10-08-2017,Auvergne et Rhône-Alpes,6462,12
11-08-2017,Auvergne et Rhône-Alpes,6515,12
12-08-2017,Auvergne et Rhône-Alpes,6508,12
13-08-2017,Auvergne et Rhône-Alpes,5960,12
14-08-2017,Auvergne et Rhône-Alpes,7979,12
15-08-2017,Auvergne et Rhône-Alpes,6258,12
