year,region,region_code,heatwave_severity,population_exposed,excess_deaths,excess_deaths_pct,attrib_deaths_summer,attrib_deaths_summer_pct,attrib_deaths_heatwave,attrib_deaths_heatwave_pct,hospital_beds,deaths_per_100k_exposed,beds_per_100k_exposed
2023,Hauts-de-France,32,2.14013959586611,2616339,0.0,0.0,396.0,2.7,46.0,13.1,33388.0,1.758181948134397,1276.1343235719835
2024,Hauts-de-France,32,0.0,0,,,334.0,2.2,0.0,0.0,33104.0,,
2016,Normandie,28,0.0,0,,,146.0,1.7,0.0,0.0,19673.0,,
2017,Normandie,28,1.1616054212038,780255,,,154.0,1.8,14.0,10.2,19532.0,1.7942852016327997,2503.2841827351317
2018,Normandie,28,0.0,0,,,197.0,2.2,0.0,0.0,19446.0,,
2019,Normandie,28,9.90965822283815,2829987,49.0,9.6,190.0,2.1,52.0,8.8,19239.0,1.8374642710372875,679.8264444324302
2020,Normandie,28,11.8050722563255,2627975,129.0,27.8,264.0,2.8,84.0,14.0,19137.0,3.196377438902577,728.2032743842692
2021,Normandie,28,0.0,0,,,118.0,1.2,0.0,0.0,18993.0,,
2022,Normandie,28,7.85632094407012,3062930,108.0,18.3,363.0,3.6,77.0,10.9,18682.0,2.5139327376074543,609.9388494023696
2023,Normandie,28,3.15225975453972,1966806,32.0,8.0,269.0,2.9,36.0,8.2,18443.0,1.8303787968920169,937.713226418874
2024,Normandie,28,0.0,0,,,157.0,1.7,0.0,0.0,18246.0,,
2016,Nouvelle Aquitaine,75,1.08460119862134,1721187,,,318.0,1.9,28.0,8.5,38007.0,1.626784306411796,2208.185397635469
2017,Nouvelle Aquitaine,75,1.14546469046276,2105541,25.0,6.9,358.0,2.1,27.0,8.5,37521.0,1.2823307643973687,1782.0123189242101
2018,Nouvelle Aquitaine,75,4.43138366722398,4761960,31.0,3.7,399.0,2.2,82.0,9.7,36854.0,1.7219800250317094,773.9250224697394
2019,Nouvelle Aquitaine,75,14.5347772192581,5193590,86.0,6.6,497.0,2.8,152.0,11.5,36501.0,2.926684624700833,702.8086545145073
2020,Nouvelle Aquitaine,75,5.76420053064647,4937405,73.0,7.0,428.0,2.4,124.0,11.7,36363.0,2.5114407264544836,736.4799930327773
2021,Nouvelle Aquitaine,75,0.0,0,,,230.0,1.2,0.0,0.0,35666.0,,
2022,Nouvelle Aquitaine,75,18.1466700215881,5940230,451.0,18.1,870.0,4.5,274.0,9.3,35258.0,4.612616009817802,593.5460411465549
2023,Nouvelle Aquitaine,75,12.0834090374084,5351431,150.0,11.0,578.0,3.2,188.0,12.4,34766.0,3.513079025030875,649.6580073628904
2024,Nouvelle Aquitaine,75,2.89452542319859,3546126,63.0,10.9,363.0,1.9,79.0,12.4,34251.0,2.2277832203367844,965.8709250601925
2016,Occitanie,76,0.228673162392279,474369,,,196.0,1.3,4.0,4.6,37924.0,0.8432254215600091,7994.620221810447
2017,Occitanie,76,2.89683037182242,4404164,38.0,5.8,325.0,2.1,46.0,6.4,37822.0,1.044466100717412,858.7781926376947
2018,Occitanie,76,8.66994691696333,3478081,191.0,21.8,348.0,2.1,103.0,9.4,37503.0,2.9614031415599578,1078.2670098827487
2019,Occitanie,76,17.4104943971914,4849245,62.0,4.1,439.0,2.8,178.0,11.1,37400.0,3.6706745070624396,771.2540818209845
2020,Occitanie,76,6.82577562756017,4287897,104.0,11.3,380.0,2.3,90.0,8.9,37295.0,2.0989310144343487,869.7736909258781
2021,Occitanie,76,0.850900787356596,1243850,14.0,6.8,225.0,1.3,20.0,8.0,37061.0,1.607910921734936,2979.539333520923
2022,Occitanie,76,25.2529381418122,5656240,509.0,17.4,911.0,5.0,376.0,10.7,36652.0,6.647525564686081,647.9923058427507
2023,Occitanie,76,23.4649257104714,6044782,75.0,4.4,524.0,3.1,203.0,11.3,36547.0,3.3582683378821603,604.6041031752676
2024,Occitanie,76,4.28597123282825,3742455,0.0,0.0,438.0,2.5,110.0,11.1,36469.0,2.9392470984955064,974.4672948639329
2016,Pays de la Loire,52,1.13135948108321,1118622,,,194.0,2.1,20.0,8.6,19831.0,1.7879140585470337,1772.8061847523113
2017,Pays de la Loire,52,3.27345081967213,3757600,55.0,9.9,210.0,2.3,49.0,8.0,19430.0,1.3040238450074515,517.0853736427507
2018,Pays de la Loire,52,1.79947234149684,2399577,44.0,12.2,248.0,2.6,33.0,8.2,19220.0,1.3752423864706154,800.9745050898555
2019,Pays de la Loire,52,18.4962965599805,3806461,102.0,9.1,274.0,2.9,121.0,10.3,19047.0,3.1788057200638598,500.386054132697
2020,Pays de la Loire,52,8.40959025291484,2386949,139.0,33.7,211.0,2.2,65.0,12.1,18729.0,2.7231415501546117,784.6418168130111
2021,Pays de la Loire,52,0.0,0,,,120.0,1.2,0.0,0.0,18570.0,,
2022,Pays de la Loire,52,12.3624295218415,3879216,175.0,18.2,486.0,4.6,132.0,11.6,18312.0,3.402749421532598,472.0541470235223
2023,Pays de la Loire,52,2.86987818667236,1846926,44.0,10.0,293.0,3.0,53.0,11.0,17812.0,2.869633109285375,964.4133008036056
2024,Pays de la Loire,52,2.39038503354554,2419297,8.0,2.1,142.0,1.4,44.0,11.5,17706.0,1.8187101459638895,731.8654964644688
2016,Provence-Alpes-Côte d'Azur,93,0.0,0,,,163.0,1.2,0.0,0.0,35448.0,,
2017,Provence-Alpes-Côte d'Azur,93,10.4627517397518,4889606,125.0,11.9,337.0,2.4,129.0,10.8,35310.0,2.638249380420427,722.1440745941494
2018,Provence-Alpes-Côte d'Azur,93,16.1890306861578,4888764,277.0,18.7,397.0,2.8,220.0,12.5,35479.0,4.500114957482096,725.7253571659421
2019,Provence-Alpes-Côte d'Azur,93,12.3461636759435,5081101,102.0,8.5,434.0,3.0,159.0,12.5,34915.0,3.1292430518503767,687.1542211028673
2020,Provence-Alpes-Côte d'Azur,93,1.78246692370122,1262861,0.0,0.0,257.0,1.8,23.0,8.6,34214.0,1.8212614056495529,2709.2451188214695
2021,Provence-Alpes-Côte d'Azur,93,1.92892722861868,1834584,118.0,30.1,209.0,1.4,36.0,7.1,33980.0,1.9622977198100497,1852.191014420708
2022,Provence-Alpes-Côte d'Azur,93,17.4867055024919,4061948,316.0,18.8,710.0,4.5,242.0,11.9,33242.0,5.957732595296641,818.3758137721113
2023,Provence-Alpes-Côte d'Azur,93,17.9792130062882,5194349,92.0,4.3,507.0,3.4,224.0,10.1,33099.0,4.312378702316691,637.211708339197
2024,Provence-Alpes-Côte d'Azur,93,7.12942251186727,5218341,97.0,6.5,500.0,3.4,185.0,11.6,32926.0,3.5451880204839044,630.9668149321786
2016,Île-de-France,11,10.7659896995428,9432137,,,318.0,1.6,89.0,7.4,67144.0,0.9435825624670211,711.8641300481535
2017,Île-de-France,11,9.66681412054985,10878750,123.0,9.9,345.0,1.8,96.0,7.1,66703.0,0.8824543260944503,613.1494886820636
2018,Île-de-France,11,20.7044898954406,12213447,349.0,12.3,511.0,2.6,253.0,8.0,65850.0,2.071487271365733,539.1598293258243
2019,Île-de-France,11,29.4030447597171,12262544,368.0,16.2,488.0,2.4,242.0,9.1,64045.0,1.9734893509862226,522.2815102641017
2020,Île-de-France,11,38.3738493002735,12271794,354.0,20.6,617.0,3.0,312.0,15.1,63350.0,2.542415558800938,516.2244411860238
2021,Île-de-France,11,0.0,0,,,208.0,1.0,0.0,0.0,61420.0,,
2022,Île-de-France,11,12.723072694501,9604019,325.0,20.8,663.0,3.2,161.0,8.7,59804.0,1.6763815231935715,622.6976435594306
2023,Île-de-France,11,8.65010744832966,9614625,7.0,0.7,560.0,2.8,86.0,8.1,59930.0,0.8944706631823914,623.3212423781479
2024,Île-de-France,11,0.0,0,,,350.0,1.7,0.0,0.0,59281.0,,
